,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name
0,Albania,ALB,2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health
1,Albania,ALB,2021-01-11,0.0,0.0,0.0,64.0,0.0,0.0,0.0,22.0,Pfizer/BioNTech,Ministry of Health
2,Albania,ALB,2021-01-12,128.0,128.0,0.0,64.0,0.0,0.0,0.0,22.0,Pfizer/BioNTech,Ministry of Health
3,Albania,ALB,2021-01-13,188.0,188.0,0.0,63.0,0.01,0.01,0.0,22.0,Pfizer/BioNTech,Ministry of Health
4,Albania,ALB,2021-01-14,266.0,266.0,0.0,66.0,0.01,0.01,0.0,23.0,Pfizer/BioNTech,Ministry of Health
5,Albania,ALB,2021-01-15,308.0,308.0,0.0,62.0,0.01,0.01,0.0,22.0,Pfizer/BioNTech,Ministry of Health
6,Albania,ALB,2021-01-16,369.0,369.0,0.0,62.0,0.01,0.01,0.0,22.0,Pfizer/BioNTech,Ministry of Health
7,Albania,ALB,2021-01-17,405.0,405.0,0.0,58.0,0.01,0.01,0.0,20.0,Pfizer/BioNTech,Ministry of Health
8,Albania,ALB,2021-01-18,447.0,447.0,0.0,55.0,0.02,0.02,0.0,19.0,Pfizer/BioNTech,Ministry of Health
9,Albania,ALB,2021-01-19,483.0,483.0,0.0,51.0,0.02,0.02,0.0,18.0,Pfizer/BioNTech,Ministry of Health
10,Albania,ALB,2021-01-20,519.0,519.0,0.0,47.0,0.02,0.02,0.0,16.0,Pfizer/BioNTech,Ministry of Health
11,Albania,ALB,2021-01-21,549.0,549.0,0.0,40.0,0.02,0.02,0.0,14.0,Pfizer/BioNTech,Ministry of Health
12,Albania,ALB,2021-01-22,0.0,0.0,0.0,34.0,0.0,0.0,0.0,12.0,Pfizer/BioNTech,Ministry of Health
13,Albania,ALB,2021-01-23,0.0,0.0,0.0,26.0,0.0,0.0,0.0,9.0,Pfizer/BioNTech,Ministry of Health
14,Albania,ALB,2021-01-24,0.0,0.0,0.0,21.0,0.0,0.0,0.0,7.0,Pfizer/BioNTech,Ministry of Health
15,Albania,ALB,2021-01-25,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,Pfizer/BioNTech,Ministry of Health
16,Albania,ALB,2021-01-26,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,Pfizer/BioNTech,Ministry of Health
17,Albania,ALB,2021-01-27,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,Pfizer/BioNTech,Ministry of Health
18,Albania,ALB,2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health
19,Albania,ALB,2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health
20,Albania,ALB,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health
21,Albania,ALB,2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health
22,Albania,ALB,2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Ministry of Health
23,Albania,ALB,2021-02-02,550.0,549.0,1.0,0.0,0.02,0.02,0.0,0.0,Pfizer/BioNTech,Ministry of Health
24,Albania,ALB,2021-02-03,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,Pfizer/BioNTech,Ministry of Health
25,Albania,ALB,2021-02-04,0.0,0.0,0.0,24.0,0.0,0.0,0.0,8.0,Pfizer/BioNTech,Ministry of Health
26,Albania,ALB,2021-02-05,0.0,0.0,0.0,35.0,0.0,0.0,0.0,12.0,Pfizer/BioNTech,Ministry of Health
27,Albania,ALB,2021-02-06,0.0,0.0,0.0,47.0,0.0,0.0,0.0,16.0,Pfizer/BioNTech,Ministry of Health
28,Albania,ALB,2021-02-07,0.0,0.0,0.0,59.0,0.0,0.0,0.0,21.0,Pfizer/BioNTech,Ministry of Health
29,Albania,ALB,2021-02-08,0.0,0.0,0.0,71.0,0.0,0.0,0.0,25.0,Pfizer/BioNTech,Ministry of Health
30,Albania,ALB,2021-02-09,1127.0,689.0,438.0,82.0,0.04,0.02,0.02,28.0,Pfizer/BioNTech,Ministry of Health
31,Albania,ALB,2021-02-10,0.0,0.0,0.0,81.0,0.0,0.0,0.0,28.0,Pfizer/BioNTech,Ministry of Health
32,Albania,ALB,2021-02-11,0.0,0.0,0.0,79.0,0.0,0.0,0.0,27.0,Pfizer/BioNTech,Ministry of Health
33,Albania,ALB,2021-02-12,0.0,0.0,0.0,78.0,0.0,0.0,0.0,27.0,Pfizer/BioNTech,Ministry of Health
34,Albania,ALB,2021-02-13,0.0,0.0,0.0,76.0,0.0,0.0,0.0,26.0,Pfizer/BioNTech,Ministry of Health
35,Albania,ALB,2021-02-14,0.0,0.0,0.0,75.0,0.0,0.0,0.0,26.0,Pfizer/BioNTech,Ministry of Health
36,Albania,ALB,2021-02-15,0.0,0.0,0.0,73.0,0.0,0.0,0.0,25.0,Pfizer/BioNTech,Ministry of Health
37,Albania,ALB,2021-02-16,0.0,0.0,0.0,72.0,0.0,0.0,0.0,25.0,Pfizer/BioNTech,Ministry of Health
38,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,72.0,0.06,0.04,0.02,25.0,Pfizer/BioNTech,Ministry of Health
39,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,254.0,0.11,0.08,0.02,88.0,Pfizer/BioNTech,Ministry of Health
40,Albania,ALB,2021-02-19,4177.0,0.0,0.0,405.0,0.15,0.0,0.0,141.0,Pfizer/BioNTech,Ministry of Health
41,Algeria,DZA,2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sputnik V,Ministry of Health
42,Algeria,DZA,2021-01-30,30.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,Sputnik V,Ministry of Health
43,Algeria,DZA,2021-01-31,0.0,0.0,0.0,1889.0,0.0,0.0,0.0,43.0,Sputnik V,Ministry of Health
44,Algeria,DZA,2021-02-01,0.0,0.0,0.0,2509.0,0.0,0.0,0.0,57.0,Sputnik V,Ministry of Health
45,Algeria,DZA,2021-02-02,0.0,0.0,0.0,2819.0,0.0,0.0,0.0,64.0,Sputnik V,Ministry of Health
46,Algeria,DZA,2021-02-03,0.0,0.0,0.0,3005.0,0.0,0.0,0.0,69.0,Sputnik V,Ministry of Health
47,Algeria,DZA,2021-02-04,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,71.0,Sputnik V,Ministry of Health
48,Algeria,DZA,2021-02-05,0.0,0.0,0.0,3217.0,0.0,0.0,0.0,73.0,Sputnik V,Ministry of Health
49,Algeria,DZA,2021-02-06,0.0,0.0,0.0,3748.0,0.0,0.0,0.0,85.0,Sputnik V,Ministry of Health
